Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Media_Base,Ganho_Bruto,Eficiencia_Media
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.05,24.84,25.200000000000447,22.0,2.84,0.1775
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.1,23.967,24.200000000000436,21.0,2.967,0.1854375
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.2,21.993,22.20000000000041,19.0,2.993,0.1870625
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.05,28.028,28.400000000000468,26.0,2.028,0.16900000000000012
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.1,27.006,27.400000000000432,25.0,2.006,0.16716666666666669
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.2,24.247,24.400000000000304,22.0,2.247,0.1872500000000002
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.05,31.239,31.599999999999433,30.0,1.239,0.154875
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.1,29.349,29.59999999999949,28.0,1.349,0.168625
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.2,26.435,26.5999999999996,25.0,1.435,0.179375
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.05,34.525,34.799999999999685,34.0,0.525,0.13125
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.1,32.633,32.79999999999949,32.0,0.633,0.15825
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.2,28.723,28.799999999999518,28.0,0.723,0.18075
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.05,22.461,23.0,19.0,3.461,0.17304999999999987
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.1,21.508,22.0,18.0,3.508,0.17539999999999992
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.2,19.609,20.0,16.0,3.609,0.18045000000000003
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.05,25.686,26.200000000000458,23.0,2.686,0.167875
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.1,24.833,25.200000000000447,22.0,2.833,0.1770625
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.2,22.816,23.200000000000426,20.0,2.816,0.176
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.05,29.029,29.400000000000503,27.0,2.029,0.16908333333333334
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.1,28.061,28.400000000000468,26.0,2.061,0.1717500000000001
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.2,25.084,25.40000000000035,23.0,2.084,0.17366666666666683
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.05,32.272,32.599999999999405,31.0,1.272,0.159
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.1,30.29,30.59999999999946,29.0,1.29,0.16125
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.2,27.337,27.59999999999956,26.0,1.337,0.167125
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.05,35.595,35.79999999999978,35.0,0.595,0.14875
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.1,33.682,33.79999999999959,33.0,0.682,0.1705
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.2,29.692,29.79999999999951,29.0,0.692,0.173
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.05,22.448,23.0,19.0,3.448,0.17239999999999991
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.1,21.338,22.0,18.0,3.338,0.1669000000000001
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.2,19.514,20.0,16.0,3.514,0.17570000000000038
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.05,24.735,25.200000000000447,22.0,2.735,0.1709375
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.1,23.773,24.200000000000436,21.0,2.773,0.1733125
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.2,21.74,22.20000000000041,19.0,2.74,0.17125
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.05,28.021,28.400000000000468,26.0,2.021,0.1684166666666663
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.1,27.042,27.400000000000432,25.0,2.042,0.1701666666666667
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.2,24.031,24.400000000000304,22.0,2.031,0.16925000000000012
AL_CE_20,Cargo 5,MULTIPLA_5,0.8,0.05,31.31,31.599999999999433,30.0,1.31,0.16375
