Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.2,44.93,43.0,1.93,0.5205319148936167
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.05,76.124,73.0,3.124,0.544628571428572
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.1,67.53,65.0,2.53,0.5361428571428576
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.2,50.65,49.0,1.65,0.5235714285714286
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.05,86.458,84.0,2.458,0.5512083333333342
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.1,75.968,74.0,1.968,0.541
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.2,57.084,56.0,1.084,0.5225833333333327
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.05,95.414,94.0,1.414,0.5589166666666662
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.1,85.084,84.0,1.084,0.5451666666666665
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.2,64.732,64.0,0.732,0.5304999999999996
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,51.299,50.8000000000007,0.4989999999993015,0.21134090909090922
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,49.327,48.80000000000061,0.5269999999993888,0.2119772727272729
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,45.329,44.80000000000041,0.5289999999995926,0.21202272727272778
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,57.718,57.199999999999044,0.5180000000009531,0.2143888888888886
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,54.714,54.19999999999916,0.514000000000844,0.21427777777777743
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,49.746,49.19999999999938,0.5460000000006258,0.21516666666666717
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,63.448,63.400000000001015,0.04799999999898864,0.2017777777777805
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,60.661,60.400000000000986,0.26099999999901047,0.2096666666666694
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,54.748,54.40000000000094,0.3479999999990614,0.21288888888889165
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,70.709,70.59999999999947,0.10900000000053842,0.20605555555555577
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,66.739,66.59999999999908,0.13900000000091678,0.2077222222222223
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,59.858,59.59999999999902,0.2580000000009823,0.21433333333333338
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,77.661,77.80000000000148,-0.13900000000146975,0.1845555555555577
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,73.819,73.80000000000138,0.018999999998617567,0.20211111111111374
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,65.905,65.8000000000012,0.10499999999879218,0.21166666666666928
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.05,34.397,32.79999999999949,1.5970000000005093,0.25506896551724223
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.1,33.26,31.799999999999493,1.4600000000005058,0.2503448275862075
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.2,29.989,28.799999999999518,1.189000000000484,0.24100000000000055
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.05,39.073,37.59999999999929,1.4730000000007057,0.2640434782608709
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.1,36.919,35.59999999999934,1.319000000000662,0.25734782608695744
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.2,33.642,32.599999999999405,1.0420000000005967,0.2453043478260874
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.05,42.974,41.59999999999922,1.3740000000007786,0.27633333333333376
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.1,40.79,39.59999999999925,1.1900000000007493,0.26611111111111097
