Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio
AL_CE_20,Cargo 6,MULTIPLA_5,0.5,0.1,22.843,22.0,0.843
AL_CE_20,Cargo 6,MULTIPLA_5,0.5,0.2,20.718,20.0,0.718
AL_CE_20,Cargo 6,MULTIPLA_5,0.6,0.05,27.091,26.200000000000458,0.8909999999995416
AL_CE_20,Cargo 6,MULTIPLA_5,0.6,0.1,25.929,25.200000000000447,0.7289999999995526
AL_CE_20,Cargo 6,MULTIPLA_5,0.6,0.2,23.86,23.200000000000426,0.6599999999995744
AL_CE_20,Cargo 6,MULTIPLA_5,0.7,0.05,30.184,29.400000000000503,0.783999999999498
AL_CE_20,Cargo 6,MULTIPLA_5,0.7,0.1,29.063,28.400000000000468,0.6629999999995307
AL_CE_20,Cargo 6,MULTIPLA_5,0.7,0.2,25.891,25.40000000000035,0.49099999999965077
AL_CE_20,Cargo 6,MULTIPLA_5,0.8,0.05,33.218,32.599999999999405,0.6180000000005966
AL_CE_20,Cargo 6,MULTIPLA_5,0.8,0.1,31.045,30.59999999999946,0.4450000000005384
AL_CE_20,Cargo 6,MULTIPLA_5,0.8,0.2,27.998,27.59999999999956,0.39800000000044017
AL_CE_20,Cargo 6,MULTIPLA_5,0.9,0.05,36.138,35.79999999999978,0.33800000000022556
AL_CE_20,Cargo 6,MULTIPLA_5,0.9,0.1,34.089,33.79999999999959,0.28900000000040743
AL_CE_20,Cargo 6,MULTIPLA_5,0.9,0.2,29.998,29.79999999999951,0.19800000000049112
AL_CE_20,Cargo 7,MULTIPLA_5,0.5,0.05,22.679,23.0,-0.321
AL_CE_20,Cargo 7,MULTIPLA_5,0.5,0.1,21.673,22.0,-0.327
AL_CE_20,Cargo 7,MULTIPLA_5,0.5,0.2,19.707,20.0,-0.293
AL_CE_20,Cargo 7,MULTIPLA_5,0.6,0.05,25.926,26.200000000000458,-0.2740000000004584
AL_CE_20,Cargo 7,MULTIPLA_5,0.6,0.1,24.811,25.200000000000447,-0.3890000000004475
AL_CE_20,Cargo 7,MULTIPLA_5,0.6,0.2,22.922,23.200000000000426,-0.27800000000042563
AL_CE_20,Cargo 7,MULTIPLA_5,0.7,0.05,28.979,29.400000000000503,-0.42100000000050203
AL_CE_20,Cargo 7,MULTIPLA_5,0.7,0.1,28.054,28.400000000000468,-0.3460000000004693
AL_CE_20,Cargo 7,MULTIPLA_5,0.7,0.2,25.198,25.40000000000035,-0.20200000000034923
AL_CE_20,Cargo 7,MULTIPLA_5,0.8,0.05,32.254,32.599999999999405,-0.3459999999994034
AL_CE_20,Cargo 7,MULTIPLA_5,0.8,0.1,30.328,30.59999999999946,-0.27199999999946156
AL_CE_20,Cargo 7,MULTIPLA_5,0.8,0.2,27.461,27.59999999999956,-0.1389999999995598
AL_CE_20,Cargo 7,MULTIPLA_5,0.9,0.05,35.515,35.79999999999978,-0.28499999999977443
