Grupo,Conhecimento_Pct,Erro_Pct,Nota_Media_Final,Ganho_Medio
CERTO_ERRADO,0.5,0.05,20.006,2.006
CERTO_ERRADO,0.5,0.05,21.54,2.54
CERTO_ERRADO,0.5,0.05,20.676,1.676
CERTO_ERRADO,0.5,0.05,19.826,1.826
CERTO_ERRADO,0.5,0.05,19.854,1.854
CERTO_ERRADO,0.5,0.05,20.02,2.02
CERTO_ERRADO,0.5,0.05,20.034,2.034
CERTO_ERRADO,0.5,0.05,20.052,2.052
CERTO_ERRADO,0.5,0.05,21.54,2.54
CERTO_ERRADO,0.5,0.05,21.55,2.55
CERTO_ERRADO,0.5,0.05,19.194,1.194
CERTO_ERRADO,0.5,0.05,20.07,2.07
CERTO_ERRADO,0.5,0.05,19.052,1.052
CERTO_ERRADO,0.5,0.05,19.998,1.998
CERTO_ERRADO,0.5,0.05,19.916,1.916
CERTO_ERRADO,0.5,0.05,14.76,-3.24
CERTO_ERRADO,0.5,0.05,19.886,1.886
CERTO_ERRADO,0.5,0.05,19.738,1.738
CERTO_ERRADO,0.5,0.05,17.98,-0.02
CERTO_ERRADO,0.5,0.05,17.96,-0.04
CERTO_ERRADO,0.5,0.05,21.508,2.508
CERTO_ERRADO,0.5,0.05,10.406,-7.594
CERTO_ERRADO,0.5,0.05,19.988,1.988
CERTO_ERRADO,0.5,0.05,17.992,-0.008
CERTO_ERRADO,0.5,0.05,19.976,1.976
CERTO_ERRADO,0.5,0.05,19.918,1.918
CERTO_ERRADO,0.5,0.05,20.828,1.828
CERTO_ERRADO,0.5,0.05,19.91,1.91
CERTO_ERRADO,0.5,0.05,20.098,2.098
CERTO_ERRADO,0.5,0.05,19.018,1.018
CERTO_ERRADO,0.5,0.05,15.87,-3.13
CERTO_ERRADO,0.5,0.05,19.842,1.842
CERTO_ERRADO,0.5,0.05,19.008,1.008
CERTO_ERRADO,0.5,0.05,19.774,1.774
CERTO_ERRADO,0.5,0.05,19.21,1.21
CERTO_ERRADO,0.5,0.05,19.858,1.858
CERTO_ERRADO,0.5,0.05,19.826,1.826
CERTO_ERRADO,0.5,0.05,19.744,1.744
CERTO_ERRADO,0.5,0.05,18.758,0.758
CERTO_ERRADO,0.5,0.05,19.682,1.682
CERTO_ERRADO,0.5,0.05,15.06,-2.94
CERTO_ERRADO,0.5,0.05,13.02,-5.98
CERTO_ERRADO,0.5,0.05,17.876,-0.124
CERTO_ERRADO,0.5,0.05,19.524,0.524
CERTO_ERRADO,0.5,0.05,18.93,0.93
CERTO_ERRADO,0.5,0.05,19.874,1.874
CERTO_ERRADO,0.5,0.05,20.792,1.792
CERTO_ERRADO,0.5,0.05,19.244,1.244
CERTO_ERRADO,0.5,0.05,18.922,0.922
CERTO_ERRADO,0.5,0.05,14.902,-3.098
CERTO_ERRADO,0.5,0.05,18.924,0.924
CERTO_ERRADO,0.5,0.05,19.024,1.024
CERTO_ERRADO,0.5,0.05,20.84,1.84
CERTO_ERRADO,0.5,0.05,18.056,0.056
CERTO_ERRADO,0.5,0.05,13.122,-4.878
CERTO_ERRADO,0.5,0.05,19.102,1.102
CERTO_ERRADO,0.5,0.05,20.062,2.062
CERTO_ERRADO,0.5,0.05,19.208,1.208
CERTO_ERRADO,0.5,0.05,19.984,1.984
CERTO_ERRADO,0.5,0.05,20.082,1.082
CERTO_ERRADO,0.5,0.05,17.806,-1.194
CERTO_ERRADO,0.5,0.05,17.988,-0.012
CERTO_ERRADO,0.5,0.05,21.59,2.59
CERTO_ERRADO,0.5,0.05,18.984,0.984
CERTO_ERRADO,0.5,0.05,19.882,1.882
CERTO_ERRADO,0.5,0.05,19.77,1.77
CERTO_ERRADO,0.5,0.05,16.56,-1.44
