Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Bruto,Ganho_Percentual,Eficiencia_Media
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,51.287,50.8000000000007,9.286999999999999,0.2110681818181818,0.2110681818181819
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,49.465,48.80000000000061,9.465000000000003,0.21511363636363645,0.21511363636363653
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,45.298,44.80000000000041,9.298000000000002,0.21131818181818185,0.21131818181818218
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,57.618,57.199999999999044,7.618000000000002,0.21161111111111117,0.21161111111111086
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,54.65,54.19999999999916,7.649999999999999,0.21249999999999997,0.2125000000000005
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,49.561,49.19999999999938,7.561,0.21002777777777779,0.21002777777777792
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,63.763,63.400000000001015,5.762999999999998,0.21344444444444438,0.21344444444444707
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,60.65,60.400000000000986,5.649999999999999,0.2092592592592592,0.20925925925926186
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,54.796,54.40000000000094,5.795999999999999,0.21466666666666664,0.21466666666666945
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,70.608,70.59999999999947,3.608000000000004,0.20044444444444467,0.20044444444444465
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,66.744,66.59999999999908,3.7439999999999998,0.208,0.20800000000000016
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,59.803,59.59999999999902,3.8029999999999973,0.21127777777777762,0.21127777777777756
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,77.626,77.80000000000148,1.6260000000000048,0.1806666666666672,0.18066666666666883
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,73.8,73.80000000000138,1.7999999999999972,0.19999999999999968,0.20000000000000254
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,65.828,65.8000000000012,1.828000000000003,0.20311111111111144,0.20311111111111352
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.05,34.347,32.79999999999949,7.347000000000001,0.25334482758620697,0.2533448275862075
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.1,33.236,31.799999999999493,7.235999999999997,0.24951724137931025,0.2495172413793112
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.2,29.967,28.799999999999518,6.966999999999999,0.24024137931034478,0.2402413793103452
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.05,39.107,37.59999999999929,6.106999999999999,0.26552173913043475,0.2655217391304362
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.1,36.926,35.59999999999934,5.926000000000002,0.25765217391304357,0.2576521739130445
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.2,33.652,32.599999999999405,5.652000000000001,0.24573913043478265,0.24573913043478296
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.05,43.016,41.59999999999922,5.015999999999998,0.27866666666666656,0.27866666666666695
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.1,40.819,39.59999999999925,4.819000000000003,0.26772222222222236,0.26772222222222225
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.2,36.536,35.59999999999934,4.536000000000001,0.25200000000000006,0.2520000000000003
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.05,46.444,45.40000000000084,3.4440000000000026,0.2870000000000002,0.28700000000000003
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.1,44.346,43.40000000000081,3.3459999999999965,0.27883333333333304,0.2788333333333331
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.2,39.108,38.40000000000072,3.107999999999997,0.25899999999999973,0.2589999999999999
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.05,50.912,50.19999999999932,1.911999999999999,0.3186666666666665,0.31866666666666665
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.1,47.716,47.19999999999947,1.716000000000001,0.2860000000000002,0.2859999999999997
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.2,42.59,42.19999999999975,1.5900000000000034,0.26500000000000057,0.265
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.05,22.533,23.0,3.5330000000000013,0.17665000000000006,0.17664999999999967
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.1,21.609,22.0,3.6090000000000018,0.18045000000000008,0.18045000000000022
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.2,19.728,20.0,3.7280000000000015,0.18640000000000007,0.18639999999999982
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.05,25.694,26.200000000000458,2.693999999999999,0.16837499999999994,0.168375
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.1,24.738,25.200000000000447,2.7379999999999995,0.17112499999999997,0.171125
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.2,22.876,23.200000000000426,2.8760000000000012,0.17975000000000008,0.17975
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.05,28.865,29.400000000000503,1.8649999999999984,0.15541666666666654,0.15541666666666656
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.1,27.877,28.400000000000468,1.876999999999999,0.15641666666666657,0.1564166666666666
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.2,25.103,25.40000000000035,2.1030000000000015,0.17525000000000013,0.17525000000000004
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.05,32.15,32.599999999999405,1.1499999999999986,0.14374999999999982,0.14375
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.1,30.217,30.59999999999946,1.2169999999999987,0.15212499999999984,0.152125
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.2,27.373,27.59999999999956,1.373000000000001,0.17162500000000014,0.171625
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.05,35.551,35.79999999999978,0.5510000000000019,0.13775000000000048,0.13775
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.1,33.575,33.79999999999959,0.5750000000000028,0.1437500000000007,0.14375
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.2,29.646,29.79999999999951,0.6460000000000008,0.1615000000000002,0.1615
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.05,22.709,23.0,3.7089999999999996,0.18544999999999998,0.18545000000000011
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.1,21.812,22.0,3.812000000000001,0.19060000000000005,0.19060000000000016
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.2,19.753,20.0,3.753,0.18765,0.18764999999999976
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.05,24.875,25.200000000000447,2.875,0.1796875,0.1796875
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.1,23.855,24.200000000000436,2.8550000000000004,0.17843750000000003,0.1784375
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.2,22.012,22.20000000000041,3.0120000000000005,0.18825000000000003,0.18825
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.05,28.033,28.400000000000468,2.0330000000000013,0.16941666666666677,0.16941666666666663
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.1,27.103,27.400000000000432,2.1030000000000015,0.17525000000000013,0.17525000000000032
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.2,24.271,24.400000000000304,2.271000000000001,0.18925000000000006,0.18924999999999984
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.05,31.154,31.599999999999433,1.154,0.14425,0.14425
